idmeczu	?column?	?column?
1	76	101
2	75	49
3	75	42
4	77	48
5	99	101
6	94	79
7	64	79
8	46	75
9	66	75
10	101	94
11	75	52
12	75	96
13	97	88
14	75	49
15	98	91
16	96	93
17	56	75
18	80	98
19	76	66
20	98	85
21	97	103
22	96	110
23	77	59
24	112	86
25	75	53
26	75	58
27	107	97
28	110	98
29	75	40
30	101	77
31	55	75
32	112	102
33	78	100
34	58	75
35	50	75
36	97	108
37	75	41
38	75	49
39	103	102
40	80	96
41	46	75
42	107	96
43	96	87
44	53	75
45	55	75
46	97	80
47	82	95
48	54	75
49	102	105
50	102	105
51	82	97
52	75	62
53	76	57
54	109	106
55	92	89
56	86	94
57	75	54
58	75	60
59	38	75
60	105	110
61	103	100
62	94	71
63	75	56
64	84	97
65	71	97
66	109	101
67	113	99
68	108	103
69	102	106
70	68	95
71	58	77
72	76	55
73	54	76
74	109	106
75	79	90
76	75	52
77	88	70
78	75	40
79	100	81
80	96	65
81	75	63
82	45	75
83	54	75
84	82	91
85	53	75
86	103	102
87	100	106
88	78	97
89	75	46
90	79	63
(90 wierszy)
